パン、米など,肉類,魚介類,果物、野菜類,酒類,たばこ関連,被服、生活必需品,医療、サプリメント関連,PC・通信関連,その他,サブスクA契約有無,サブスクB契約有無,サブスクC契約有無,サブスクD契約有無,サブスクE契約有無,性別,ユーザー年齢,同居人登録有無,子供有無,テレビ有無,冷蔵庫有無,洗濯機有無,エアコン有無,車有無,固定電話有無,携帯電話有無,PC有無
3860,1030,380,2000,470,40,3510,1800,2710,7000,0,0,0,1,0,0,47,1,1,1,1,0,0,0,0,1,0
4590,2710,3760,0,5310,0,29630,7920,15350,9120,0,0,0,1,0,0,37,1,0,1,1,1,0,0,0,1,1
2930,0,0,370,10,0,4200,2970,3540,9750,0,0,0,0,0,1,53,0,0,1,0,0,0,0,0,1,0
7640,3640,2420,160,0,4670,1730,1060,16510,7440,1,1,0,0,0,0,41,1,0,1,1,1,1,1,0,1,0
4890,2020,1850,1570,12360,5140,1690,4810,4730,7350,0,1,0,1,0,1,52,1,0,1,1,0,0,0,0,1,0
3700,3130,1100,470,0,0,10270,5400,25950,3700,0,0,0,0,0,0,42,1,0,1,1,1,1,0,0,1,1
3740,1150,1960,1920,0,0,5590,900,4210,8410,0,0,0,0,0,1,52,1,0,1,1,0,0,0,0,1,0
2120,0,0,430,6970,2280,3200,530,2130,9940,0,0,0,0,0,1,42,0,0,1,0,0,0,0,0,1,0
1570,600,590,1620,0,0,1390,1130,3680,8300,1,0,0,0,0,0,70,0,0,0,1,0,0,0,0,1,0
3880,0,430,2970,0,0,2270,160,2180,7440,0,0,0,0,0,1,43,1,0,0,0,0,0,0,0,1,0
5600,560,740,910,780,4080,0,1020,3480,8010,1,0,0,0,0,1,50,1,0,1,1,0,1,0,0,1,0
3490,1270,890,4740,0,0,22710,26410,32890,5100,0,0,0,1,0,1,76,1,0,1,1,1,1,1,0,1,1
4210,1780,1390,5270,360,0,370,830,1970,6640,0,0,0,0,0,1,54,1,0,1,1,0,0,0,0,1,0
4200,870,560,270,0,0,1980,560,3600,6900,0,0,0,0,0,1,35,1,0,1,1,1,0,0,0,1,0
4680,780,2080,2230,18220,0,9800,14730,21290,9240,0,0,0,0,0,1,52,1,1,1,1,0,0,1,1,0,0
4580,620,1340,1790,740,10,780,1660,2920,4590,0,1,0,0,0,0,50,1,0,1,1,0,0,0,0,1,0
3590,30,350,1060,30,4390,1720,290,3130,4200,0,0,0,0,0,1,21,1,0,0,1,0,0,0,0,1,0
6300,790,900,1870,4350,50,5270,420,58770,3470,0,0,0,0,0,1,50,1,1,1,1,0,0,0,0,1,0
5330,820,1490,2380,0,1080,1430,940,740,7640,0,0,0,1,0,0,57,1,1,1,1,0,0,0,0,0,0
7330,2780,640,1380,3460,4570,6030,2890,6940,11510,1,1,0,0,0,1,51,1,1,1,1,0,0,0,0,1,0
4600,0,0,370,20,460,1110,11760,2710,6090,0,0,1,1,0,1,32,1,1,1,0,1,1,0,0,1,0
8200,1490,2010,460,0,0,1280,8190,11980,7120,0,0,0,0,0,1,45,1,0,1,1,0,0,1,0,1,0
790,690,740,920,0,20,3180,2690,2840,2220,0,0,0,0,0,1,18,0,0,0,1,0,0,0,0,1,0
4040,1000,2650,1450,6240,5730,6620,7150,2230,9920,0,0,0,1,0,1,60,1,1,1,1,0,0,0,0,1,1
3280,370,0,870,1090,4460,1000,620,-10,3190,0,0,1,0,0,1,43,0,0,0,0,0,0,0,0,0,0
2920,0,10,3970,0,60,2340,11730,2080,11140,0,0,0,0,0,0,67,0,0,1,0,0,0,0,0,1,0
1720,890,580,760,2600,4430,8150,5120,22890,12000,0,1,1,0,0,1,42,1,0,1,1,1,0,0,0,1,1
2140,1040,680,930,5930,4130,3050,1050,2980,10740,1,1,0,1,0,0,73,1,0,1,1,0,0,0,0,1,0
1260,20,0,340,2080,3370,200,1170,3290,7500,1,0,0,1,1,1,47,1,0,1,0,0,0,0,0,1,0
4490,0,1350,4430,1040,0,2250,1810,2060,5410,0,0,0,1,0,1,56,1,0,1,0,0,0,0,0,1,0
4350,610,3060,550,10,0,1900,1840,2010,3340,0,0,0,0,0,1,59,0,0,0,1,0,0,0,0,1,0
1990,2070,1270,160,7190,5260,1780,800,7900,8340,0,0,0,0,0,1,39,1,0,1,1,0,0,1,0,1,0
5260,380,2920,2100,3330,50,6750,4250,23930,6190,1,0,0,0,0,0,46,1,0,1,1,0,0,0,0,1,0
8430,1950,1980,1170,5260,5890,14450,13400,12020,5420,0,0,0,1,0,0,75,1,1,1,1,1,1,1,0,1,0
2340,920,800,1250,0,0,1000,1340,2290,9540,0,0,0,1,0,0,58,1,1,1,1,0,0,0,0,1,0
1970,120,630,430,0,0,820,5570,-10,2460,0,0,0,0,0,0,69,0,0,1,1,0,0,0,0,0,0
2670,410,1160,2240,5000,1900,1110,810,0,4690,0,0,0,0,0,1,46,1,0,1,1,0,0,0,0,0,0
6770,1440,1640,240,2200,2150,5970,4300,4800,9160,0,1,0,0,0,1,74,1,1,1,1,0,0,0,0,1,1
6980,820,1660,1160,790,0,610,3260,8410,7060,0,0,0,1,0,1,61,1,1,1,1,1,0,1,0,1,1
2640,2610,990,0,7030,1940,810,120,3600,4480,0,1,0,1,0,1,44,0,0,1,1,1,0,0,0,1,0
3580,2220,1580,1060,0,0,8730,2770,6480,4180,0,0,1,0,0,1,29,1,0,1,1,1,0,0,0,1,1
4710,650,520,280,3430,850,1080,1330,2650,8700,0,0,0,0,0,1,59,1,0,1,1,0,0,0,0,1,0
3130,470,840,2060,5210,0,1590,1670,4800,8710,0,0,0,0,0,1,51,1,1,0,1,0,0,0,0,1,0
5970,5240,1670,0,0,20,152880,60460,53120,13710,1,1,0,0,1,0,41,1,0,1,1,1,1,1,0,1,1
7450,1100,1170,3150,0,0,27920,26910,3040,5950,0,0,0,1,0,0,60,1,1,1,1,1,1,1,0,1,1
5090,660,900,3140,1020,0,1730,1480,3490,5610,0,0,0,0,0,1,45,1,0,1,1,0,0,0,0,1,1
3870,1010,1300,1590,0,0,58090,19070,93590,12910,0,0,0,0,0,0,61,1,0,1,1,1,1,1,1,1,1
4120,1050,730,1400,36120,4270,5650,7840,4590,6030,0,0,1,1,0,1,30,1,0,1,1,1,0,0,0,1,0
3200,1690,2130,5260,3680,0,12670,18270,3400,15050,0,0,0,1,0,0,75,1,1,1,1,0,0,1,0,1,0
3640,1030,1000,1930,0,0,6060,1760,3340,14000,0,0,0,0,0,0,89,1,0,1,1,0,0,0,0,1,0
7490,150,170,2260,6010,4030,14860,15710,5110,8280,0,0,0,1,0,0,62,1,1,1,1,1,0,1,0,1,1
1850,970,810,550,0,3870,18990,4080,37760,5950,0,0,0,0,0,1,45,1,0,0,1,1,1,0,1,1,1
4370,1110,1090,2530,0,0,5220,1930,4880,10070,1,0,0,1,0,0,56,1,1,1,1,1,0,0,0,1,0
5620,1510,1550,1010,720,0,7950,25650,23870,9060,1,0,0,0,0,1,61,1,0,1,1,1,1,0,0,1,0
4580,980,800,1240,1030,0,1100,320,7820,8420,0,0,0,0,0,1,44,1,1,1,1,0,0,0,0,1,0
3390,2550,1050,520,7590,5920,3870,1260,7900,7340,0,0,0,1,0,1,40,1,0,1,1,1,0,0,0,1,1
5530,570,730,380,790,6370,900,1500,10,5860,0,1,0,0,0,1,44,1,1,1,1,0,0,0,0,0,0
3990,760,1000,3060,2540,0,720,1320,3440,6520,0,0,0,0,0,0,41,1,1,1,1,0,0,0,0,1,0
4950,1660,1090,1170,1020,0,5690,530,4040,7000,1,0,0,1,0,1,43,1,1,1,1,0,0,0,0,1,0
2320,960,750,1830,1130,5050,2810,3440,2250,3060,0,0,0,0,0,0,27,1,1,1,1,0,0,0,0,0,0
2550,310,0,1220,7410,660,1340,980,3570,3240,1,0,1,0,0,1,31,1,0,0,0,0,0,0,0,1,0
2320,590,2020,880,0,5200,1910,5100,3150,3900,0,1,1,1,0,1,23,1,0,1,1,0,0,0,0,1,0
3830,850,1500,2640,0,0,650,820,570,5860,0,0,0,1,0,0,29,1,0,0,1,0,0,0,0,0,0
1150,50,100,180,5480,0,1330,950,3640,5020,0,0,0,0,0,1,40,1,0,0,1,0,0,0,0,1,0
3980,210,260,660,470,4890,6290,1440,3360,6010,0,0,1,0,0,1,24,1,0,0,0,0,0,0,0,1,0
4350,710,680,1500,40,0,860,2200,2490,5710,0,0,0,0,0,0,49,1,1,1,1,0,0,0,0,1,0
4930,1790,700,1020,0,0,4900,5170,3570,9840,0,0,0,0,0,1,47,1,1,1,1,1,0,0,0,1,1
3660,840,880,2340,0,5190,2090,1740,3870,3510,0,1,0,0,0,1,31,1,0,1,1,0,0,0,0,1,0
7620,1080,2260,400,10530,0,3020,2280,5550,4280,1,0,0,0,0,1,41,1,1,1,1,0,0,0,0,1,0
3710,710,1150,1720,3430,2920,1440,870,2720,3370,0,0,1,1,0,1,24,1,0,1,1,0,0,0,0,1,0
3940,1360,970,2200,5210,20030,7540,930,8770,10690,0,0,0,1,0,0,72,1,1,1,1,1,0,0,0,1,0
3810,1480,960,2310,770,5670,5270,2010,4030,8340,0,0,0,1,0,1,61,1,1,1,1,0,1,0,0,1,1
1610,590,340,730,760,470,3800,1950,2570,5790,0,0,1,0,0,1,31,0,0,1,1,0,0,0,0,1,0
3510,1150,1430,960,0,0,12040,7110,5230,8340,0,0,0,0,0,1,33,1,0,1,1,1,1,0,0,1,1
2670,1380,990,1790,6860,440,1980,1290,13040,5520,0,0,1,0,0,1,39,1,1,1,1,0,0,0,0,1,0
2010,1160,1260,2470,0,0,9830,3230,2960,2450,0,0,1,0,0,1,31,1,0,1,1,0,0,0,0,1,0
3060,140,470,1150,40,0,960,1150,3930,11020,0,0,0,0,0,1,50,1,0,1,0,0,1,0,0,1,1
3340,350,520,1470,1040,1300,1130,2570,0,6740,1,0,0,0,0,1,65,1,0,1,1,0,0,0,0,0,0
4980,800,800,2540,9380,50,5450,140,3960,4580,1,0,0,1,0,0,70,1,1,1,1,0,0,0,0,1,0
3610,1560,990,2340,40,5680,5250,15070,4650,11080,0,0,0,0,0,1,61,1,0,1,1,1,0,0,1,1,1
2640,1480,1200,580,4030,2010,3310,2500,5010,5950,0,0,0,1,0,0,44,1,1,1,1,1,0,0,0,1,0
4840,1000,440,330,4550,0,6460,2650,12010,7100,0,0,0,0,0,1,37,1,1,1,1,1,0,0,0,1,0
7230,0,0,1180,5360,4540,3510,1830,2980,11150,1,1,0,1,0,1,59,1,1,1,0,0,0,0,0,1,0
4080,720,1070,1550,0,40,7230,2330,11590,4930,0,0,0,1,0,0,63,1,1,1,1,1,0,0,0,1,0
1920,350,360,1560,0,15550,22430,5460,54160,4640,0,0,0,0,1,1,56,0,0,1,0,0,0,1,0,1,1
6140,290,2570,1210,0,0,2320,600,2270,3310,0,0,0,0,0,0,41,1,0,1,1,0,0,0,0,1,0
2180,1010,930,1000,0,0,2070,4290,9350,2520,0,0,0,0,0,1,50,0,0,1,1,1,0,1,0,1,0
600,620,410,1140,0,0,0,0,8310,10770,0,0,0,0,0,0,81,0,0,1,1,0,0,1,0,1,0
4100,770,1480,1710,440,2780,1080,1160,2230,5920,0,0,0,0,0,1,39,1,1,1,1,0,0,0,0,1,0
6620,0,0,580,350,5290,4190,1520,2490,7450,0,0,0,0,0,1,58,1,0,1,0,1,0,0,0,1,1
2420,210,970,1370,0,5660,3030,930,2610,5240,0,1,1,0,0,1,38,1,0,1,1,0,0,0,0,1,1
4140,340,730,730,10,4360,1070,580,8910,7690,1,1,0,0,0,1,46,1,1,1,1,0,0,0,0,1,0
2270,380,940,1830,0,0,4920,1600,2360,2220,0,0,0,0,0,1,49,1,0,0,1,0,0,0,0,1,0
6160,840,1340,2580,3660,40,1940,2300,2920,13800,0,0,0,1,0,0,67,1,1,1,1,0,0,0,0,1,0
6330,1400,1420,1250,390,4870,4630,1000,4390,7410,0,0,1,0,0,0,66,1,0,1,1,0,0,0,0,1,0
1390,1530,550,520,14190,4200,2400,2590,2290,2280,0,0,0,0,0,0,44,0,0,0,1,0,0,0,0,1,0
5290,660,1270,1430,40,2690,5250,3390,5320,5870,0,0,0,0,0,1,44,1,1,1,1,0,0,0,0,1,0
6070,570,860,2540,6760,0,3890,6260,2620,7080,0,0,0,0,0,1,68,1,0,1,1,1,1,0,0,1,0
3590,0,0,0,0,0,5580,2170,8520,6210,0,0,0,0,0,1,38,0,0,1,0,1,0,0,0,1,1
6230,3420,1540,960,11370,3910,7070,1350,4460,7860,1,0,0,1,0,1,49,1,1,1,1,0,0,0,0,1,0
4980,1230,1020,2320,6060,4650,230,130,28850,5730,0,0,0,0,0,1,43,1,1,1,1,1,0,0,0,1,1
6270,0,0,760,20,30,890,4010,6720,9200,1,0,0,0,0,0,64,1,0,1,0,0,0,0,0,1,0
3440,860,940,2060,5680,0,0,0,0,7100,0,0,0,0,0,1,68,1,0,0,1,0,0,0,0,0,0
5910,1200,1250,910,7980,0,5470,1240,13840,4210,1,0,0,0,0,1,41,1,0,1,1,1,0,0,0,1,1
9170,130,770,2060,5540,6170,2960,690,3920,5960,1,1,0,0,0,1,57,1,0,1,1,0,0,0,0,1,0
3460,1380,910,680,820,160,3540,3900,4490,7230,0,0,1,0,0,1,35,1,1,0,1,0,0,0,0,1,0
6040,1840,1760,1440,970,0,2360,1860,2690,8200,0,0,0,1,0,1,53,1,0,1,1,1,0,0,0,1,0
2630,410,1490,980,5030,0,1510,640,3400,3330,0,0,0,0,0,1,43,1,1,1,1,0,0,1,0,1,0
1930,830,1080,1240,2030,8230,900,1040,3130,7970,0,1,1,1,0,1,43,1,1,1,1,0,0,0,0,1,0
3410,4500,1130,820,0,70,15110,1490,145560,14050,1,0,1,0,0,1,42,1,0,1,1,1,1,1,0,1,1
3680,340,970,1040,4300,0,10330,300,4300,4690,0,0,0,0,0,1,34,1,1,1,1,0,0,0,0,1,0
1740,290,0,1410,0,0,1390,1530,680,6610,0,0,0,0,0,0,73,1,0,1,0,0,0,0,0,0,0
7530,190,690,1200,10,5470,4000,1540,7160,9760,0,1,0,0,0,1,64,1,1,1,1,0,0,1,0,1,1
4350,190,590,1330,0,1000,3360,470,0,2650,0,0,1,0,0,1,25,1,0,1,1,0,0,0,0,0,0
5520,630,1480,3170,0,870,1120,1550,2410,10550,0,0,1,1,1,1,54,1,0,1,1,1,0,0,0,1,0
5190,4240,2180,810,10,20,70770,24130,14680,10360,0,0,0,1,0,0,46,1,0,1,1,1,1,1,0,1,1
5140,620,1720,850,0,0,4400,2970,9530,14350,1,0,0,1,0,0,76,1,1,1,1,0,0,0,0,1,0
3740,1150,1990,1850,490,0,1070,1590,3390,3190,0,0,0,1,0,1,45,1,1,1,1,0,0,0,0,1,0
5730,720,1150,2830,12250,2600,940,1310,2390,4630,0,1,0,0,0,0,61,1,0,1,1,0,0,0,0,1,0
5820,350,680,640,900,0,190,360,2940,4030,0,0,0,0,0,1,67,1,1,0,1,0,0,0,0,1,0
1490,1750,1220,2690,8520,0,660,4140,2260,7930,0,0,0,0,0,0,70,1,0,1,1,1,0,0,0,1,0
4880,1510,570,970,2430,3070,1990,890,3360,6620,0,0,0,0,0,1,61,1,0,1,1,0,0,0,0,1,0
5690,850,510,1610,0,3980,16110,1410,51150,5690,0,0,0,0,0,1,47,1,0,1,1,0,0,1,0,1,0
2740,990,760,680,1170,3570,1420,1310,2490,6960,0,0,0,0,0,1,47,1,0,1,1,1,0,0,0,1,0
3290,1010,650,680,1030,5960,1640,1320,2870,2140,0,0,1,0,0,1,54,1,0,1,1,1,0,0,0,1,0
1700,490,480,1260,0,0,2270,1710,3040,9050,1,0,0,0,0,0,50,0,0,1,1,1,0,0,0,1,0
3330,590,890,1040,1500,3210,5800,1900,2600,8400,0,0,1,1,0,0,59,1,1,0,1,0,0,0,0,1,0
10110,890,930,2750,5160,4180,2650,2340,5330,8160,0,0,0,1,0,1,53,1,1,0,1,0,0,0,0,1,0
1110,580,640,610,1020,4040,370,680,2670,5550,0,0,1,0,0,1,32,0,0,1,1,0,0,0,0,1,0
3380,1460,1650,2600,3570,4730,1630,4470,17940,10650,0,0,1,0,0,1,73,1,0,1,1,0,0,0,0,1,1
3310,820,580,2140,0,2990,960,2110,3470,5640,0,1,0,1,0,0,58,1,0,0,1,1,0,0,0,1,0
4220,1000,590,310,0,610,3730,1100,3230,4960,0,0,1,1,0,1,27,1,0,1,1,0,0,0,0,1,0
2980,3410,1000,2390,0,50,5040,2030,41080,7140,1,0,0,0,0,0,48,0,0,1,1,1,0,0,0,1,1
4960,3130,1150,3950,0,30,5460,16630,23950,11130,0,0,0,0,0,0,50,1,0,1,1,1,1,0,1,1,1
3070,570,1660,200,0,0,1170,250,0,7480,0,0,0,0,0,0,69,1,0,0,1,0,0,0,0,0,0
4530,810,560,1670,4240,5140,1310,1290,3220,8550,0,1,0,1,0,0,60,1,1,1,1,0,0,0,0,1,0
4250,650,700,2080,0,0,3430,2700,3120,6370,0,0,0,0,0,0,58,0,0,1,1,1,0,0,0,1,0
1510,790,20,2790,0,60,1550,2110,10590,8090,0,0,0,0,0,1,67,0,0,1,1,1,0,0,0,1,0
5910,400,490,0,2610,0,230,840,2570,5070,0,0,0,1,0,1,68,1,0,1,1,0,0,0,0,1,0
5440,860,1430,1410,0,0,2780,1790,3600,5880,1,0,0,0,0,1,45,1,1,1,1,0,0,0,0,1,0
2490,590,220,2780,690,4660,1870,4790,2640,5010,0,1,1,0,0,1,36,1,1,0,0,0,0,0,0,1,0
4260,3520,1310,1060,3730,6250,16020,11670,33870,11480,1,1,0,0,0,1,69,1,0,1,1,1,1,1,0,1,1
3980,480,590,510,3440,4330,1160,470,2970,4590,0,0,1,1,0,1,42,1,1,1,1,0,0,0,0,1,0
4550,410,720,0,0,5570,4140,790,3010,7250,0,1,0,0,0,1,58,1,0,1,1,0,0,0,0,0,0
2990,390,810,2120,1400,6700,3010,10250,2100,1590,0,0,1,0,0,1,21,1,0,1,1,0,0,0,0,1,0
3590,680,1610,3230,7180,15910,3010,1970,4400,6780,1,1,0,1,0,1,41,1,1,1,1,0,0,1,0,1,0
5850,0,0,0,1400,4830,830,2240,3790,9890,0,0,0,1,0,1,74,1,1,0,0,0,0,0,0,1,0
4520,1350,1820,430,0,6210,2940,4150,4600,3860,0,0,0,1,0,1,53,1,1,1,1,0,0,0,0,1,0
3240,0,0,0,4320,0,6100,4930,4240,12690,0,0,0,1,0,0,75,1,1,1,0,1,0,0,0,1,1
7630,2470,2920,920,0,930,26500,24180,75290,4120,1,0,1,0,0,1,49,1,0,1,1,1,1,0,1,1,1
5270,1500,1040,1900,380,0,1060,5220,3510,9090,0,0,0,0,0,1,62,1,0,0,1,1,0,0,0,1,0
4600,1740,1740,540,3900,0,3070,2180,30230,8470,0,0,0,0,0,1,49,1,1,1,1,0,0,1,0,1,0
4550,1130,980,1480,0,0,1380,7610,2770,5500,0,0,0,0,0,1,64,0,0,1,1,1,0,0,0,1,0
4000,450,530,770,10,0,500,1230,3560,7730,1,0,0,0,0,0,68,0,0,0,1,0,0,0,0,1,0
5990,1130,1540,990,5470,3890,2060,6830,2250,6750,0,0,0,0,0,1,50,1,1,1,1,0,0,0,0,1,0
2470,170,200,510,0,240,900,1630,0,8800,0,0,1,0,0,0,76,1,0,1,1,0,0,0,0,0,0
7680,920,1090,1170,40,0,16250,4680,7210,11100,1,0,0,0,0,1,61,1,1,1,1,1,1,1,0,1,0
3830,740,980,1260,650,5490,5880,1200,2930,4800,0,1,0,0,0,1,33,1,0,1,1,0,0,0,0,1,0
5660,290,490,1540,2480,6460,2230,1520,5110,4440,1,1,0,0,1,0,48,1,1,1,0,0,0,0,1,0,0
5150,300,1680,2850,0,2890,5590,560,4080,5180,0,0,0,0,1,1,34,1,1,1,1,0,0,0,0,1,0
2500,1030,600,4340,0,780,5990,13750,2900,5350,0,0,1,0,0,1,22,1,0,0,1,0,0,0,0,1,0
4600,2130,450,1650,2360,970,3990,4210,5830,8960,0,0,1,0,0,0,38,1,0,1,1,1,0,0,0,1,0
4610,3680,1140,1300,2590,0,9150,8640,18080,7060,1,0,0,0,0,1,42,1,0,1,1,1,0,0,0,0,1
4460,30,510,1100,2360,4400,860,1040,4030,4740,0,1,1,0,0,1,40,1,1,0,1,0,0,0,0,1,0
2550,440,670,920,4070,2640,2110,2870,3560,6420,0,0,0,0,0,1,57,1,0,1,1,0,0,0,0,1,0
4580,140,790,2200,20,80,1740,870,16930,6330,0,0,0,1,0,0,58,1,1,1,1,0,0,0,0,1,0
4130,760,690,2130,1270,0,4060,1700,2400,4700,0,0,0,1,0,1,53,1,0,0,1,0,0,0,0,1,0
3240,560,1400,620,1400,2430,340,1220,5140,9950,0,0,0,1,0,1,54,1,0,0,1,0,1,0,0,1,1
6570,1320,980,5430,4360,1960,4100,1710,3230,11050,0,1,0,0,0,1,69,1,0,1,1,0,0,0,0,1,0
3690,740,1450,3840,5010,10,24820,23080,4280,6050,0,1,0,1,0,1,77,1,0,1,1,0,1,0,0,1,1
1070,1740,1990,1070,2670,0,2160,8430,5670,4280,0,0,0,0,0,1,48,0,0,1,1,0,0,0,0,1,0
2830,1150,1070,240,0,50,19110,13900,99020,6070,0,1,0,0,0,0,42,1,0,1,1,1,1,0,0,1,1
4650,3110,880,710,880,0,1470,1410,12310,5630,0,0,0,0,0,1,58,1,0,1,1,1,0,0,0,1,0
5750,300,770,2550,0,30,4540,6340,4370,5170,0,0,0,0,0,1,43,1,0,1,0,0,0,0,0,1,0
2470,1330,520,720,4550,4790,13370,20430,11990,8330,0,1,0,0,0,1,52,1,0,1,1,1,0,0,0,1,1
4600,3270,2780,1240,30,40,23400,4800,38140,6760,0,0,0,0,0,1,45,1,0,1,1,1,1,0,1,1,1
3920,520,540,1270,0,0,3920,4250,2860,4450,0,0,0,0,0,0,35,1,0,1,1,0,0,0,0,1,0
3040,1160,600,0,0,7070,700,1270,9440,7400,0,1,1,0,0,1,28,0,0,1,1,0,1,1,0,1,1
7480,1840,1670,1250,10,290,890,970,5150,3710,1,0,1,0,0,1,36,1,1,1,1,1,0,0,0,1,0
2440,330,450,1300,5060,5880,990,2560,2080,11000,1,0,0,1,0,0,70,1,0,1,1,0,0,0,0,1,0
5980,1180,1090,1430,6300,0,5460,2120,3480,5560,0,0,0,1,0,1,36,1,0,1,1,1,0,1,0,1,1
4200,930,900,1540,1030,3410,930,440,4110,3690,1,0,0,0,0,1,50,1,0,1,1,1,0,0,0,1,0
4790,790,0,0,1460,40,620,3300,5450,6700,0,0,0,0,0,1,46,1,0,1,0,1,1,0,0,1,1
3500,1660,1160,830,4480,4040,10350,4870,3640,5610,0,0,0,0,0,1,50,1,0,1,1,1,0,0,0,0,1
3750,1120,890,1930,810,5160,4080,830,14800,7710,0,0,0,0,0,1,51,1,1,0,1,0,0,0,0,1,0
1900,660,480,1500,5600,70,9460,1250,3320,3410,0,0,0,1,0,1,21,1,0,0,1,0,0,0,0,0,0
4370,460,1100,860,0,3920,3510,550,3970,3900,0,0,1,1,0,1,28,1,1,1,1,0,0,0,0,1,0
2180,860,790,2290,6700,5700,3220,1760,3470,1660,0,0,1,0,1,1,22,1,0,1,1,0,0,0,0,1,0
6490,980,1070,1350,0,0,440,5940,77610,8140,0,0,0,1,0,0,64,1,1,1,1,1,0,0,0,1,1
4390,140,30,1480,780,5350,410,1310,6270,3830,0,0,1,0,0,1,34,1,0,0,1,0,0,0,0,1,1
3030,0,0,0,15150,15490,540,1120,10,6300,0,0,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0
6110,700,2320,6120,4490,3570,2050,1200,4530,8040,0,0,0,0,0,1,52,1,1,1,1,1,0,0,0,1,0
3850,1170,1500,880,3970,5360,3220,3720,4310,4950,0,0,0,0,0,1,42,1,1,1,1,0,0,0,0,1,0
4190,1710,1270,2600,6100,4480,880,2300,3490,4630,1,1,0,0,0,0,56,1,0,1,1,1,0,0,0,1,0
4590,2980,1210,400,9500,17670,5080,4870,4170,6970,0,1,0,0,0,1,53,1,1,1,1,0,0,0,0,1,0
5950,1900,1090,1580,1090,10,8370,2650,16710,4600,1,0,1,1,0,0,57,1,1,1,1,1,0,0,0,1,1
5370,1060,770,2550,3580,40,1010,2490,3060,5860,0,0,0,1,0,0,60,1,0,1,1,0,0,0,0,1,0
