月収,勤務地_東京,勤務地_大阪,勤務地_名古屋,勤務地_福岡,過去転勤有無,海外勤務経歴,通勤距離,勤続年数,年齢,管理職,性別,結婚,扶養家族有無,残業有無,出張有無,研修受講時間,保有資格数,英語スキル,褒賞有無,遅刻欠勤,やる気,協調性,プレゼンテーションスキル,業務遂行能力,総合評価,働きがい,人間関係,ワークライフバランス,自分の評価への満足度,上司面談有無,定期健診フラグ,ストレスチェック,エンゲージメントスコア
管理職,0.719565598281114,-0.0677323851126496,0.00278568855612701,0.023822668359237,0.0373828540821719,0.0143112474206906,0.00684592041459713,-0.0338830330235874,0.214690552891073,0.228185848666402,1,-0.0217553549378183,0.0101981590345835,-0.00867160509922008,-0.0586978609590469,0.0418395740493902,0.0311272293810427,0.00320240967574017,0.00545446004031846,0.0457621172445924,-0.0145277775758295,-0.0470716733354555,-0.00756415721863405,0.0348601855130705,0.00653790478194707,0.0334617859221228,0.0949574246042602,0.0673461514524547,0.0646938800168606,0.0576555812514173,0.0137229052264688,-0.0356775539435694,-0.00959616031920976,0.0862655949928747
性別,-0.00957948749532776,0.0322148384880108,-0.0211298755799849,-0.0169222221668765,0.00797280732570732,-0.0071261665601234,-0.00989613199253804,-0.014405115354358,0.00733110703946525,-0.035013001726563,-0.0217553549378183,1,-0.043976638531681,-0.0464224582861998,0.06721396338186,-0.106863840834251,0.0388142730518815,-0.0810956875413838,0.0355034780906473,-0.0198848998895025,0.0600206180238626,-0.0384030678761809,-0.0344613861811991,-0.0425154984985347,-0.0262937088027024,0.00743958842962044,-0.00328319433345466,-0.00461188409543221,-0.00669300444225921,-0.0343602269319191,-0.0729761949180571,0.0278430362659814,-0.0638569803663896,-0.0286389934470477
結婚,0.0347565412305346,-0.0785582028278307,0.0322454135883953,0.0253321000599801,0.0233765842251684,-0.012723101259677,0.0321613257302199,0.00953160834287315,0.0301054750620534,0.119984902629858,0.0101981590345835,-0.043976638531681,1,0.834595383670549,-0.0361026058322019,0.0500817587568103,0.185625281220658,0.000667193351217546,0.0186528249404036,0.0619290143820347,-0.0321312679045322,0.00324133328287499,0.145126331370961,0.00164613254445039,0.0371041393158556,0.0525378275525883,0.0437462331419458,0.0129023635612742,0.0342602250638043,0.0563961197311465,0.0397878127022665,0.0226381899074863,0.0253321012680658,0.0262556519544932
扶養家族有無,0.0149930528723965,-0.0509699605702435,0.00293940280174618,0.0264002782977961,0.0312634446774141,0.0138180492918051,0.0403613447622974,0.00510851483621445,0.0479777953600633,0.106327348084677,-0.00867160509922008,-0.0464224582861998,0.834595383670549,1,-0.0272811176832269,0.0534184479234623,0.207569707086468,0.00158667974611694,0.0310250058675944,0.0553263057113447,-0.0219489245204122,0.00171425001633037,0.144615326346756,-0.0159257564983383,0.0368646529860574,0.0305745985061913,0.065671794447909,0.0130890396818387,0.0409241238141619,0.0126142542357679,0.047166007146635,-0.0108713215622367,0.00965799988159118,0.00606722629797229
残業有無,-0.00535692721499773,0.0472672735894867,-0.015927674222067,0.0276633436737198,-0.0556650449098282,-0.0308931919482629,-0.0126136248597448,-0.020469963811942,-0.0193259542962505,-0.0400026339762506,-0.0586978609590469,0.06721396338186,-0.0361026058322019,-0.0272811176832269,1,-0.0578806308627976,0.0597458548248606,-0.0169037373055737,-0.0779642540161456,-0.110501883830825,0.0231556581202663,-0.00594828715373649,0.00610219511948796,-0.00814607025464664,-0.0222580578185984,-0.0309335138398754,0.0126073711861902,-0.0384710100872882,0.00865820674631661,0.0232413026579539,-0.0505773567798118,0.215491158952913,0.0695945329316361,-0.187143199897642
出張有無,0.0189198881365056,-0.0902671790727784,0.0293828612468068,-0.00498390858711961,0.0680900858819639,-0.0308931919482629,0.0154002236790752,0.0748853516890722,0.0258390659528926,0.114581953009709,0.0418395740493902,-0.106863840834251,0.0500817587568103,0.0534184479234623,-0.0578806308627976,1,-0.00573003205857771,0.0146132233179146,-0.00308281678257571,0.0356354335420927,-0.0139385766441018,0.306272717221541,0.0784359995396331,0.0467343180107124,0.0548610074637125,0.118666685911399,0.0420658884390968,-0.0137439490630213,0.0330497333007684,0.0780803709020052,-0.0579254385204286,-0.0746312249587298,0.0801325468631878,-0.0738233350064453
研修受講時間,0.00301387703527998,-0.0613137638473557,0.0644717645324705,-7.39441679672533e-05,0.0167214465766659,-0.0387165475825867,0.029625949151011,0.0291065096450978,-0.0868394952559119,0.0876924911790916,0.0311272293810427,0.0388142730518815,0.185625281220658,0.207569707086468,0.0597458548248606,-0.00573003205857771,1,-0.0363227421954506,-0.0640325032108055,-0.00836662582478592,-0.0210378117333791,-0.0373307226035972,0.0412397928866826,0.0406172136591805,-0.00400716157963585,0.0373938491696638,0.0779255150789634,-0.00420312924764982,0.0512831877689874,0.00896211272744245,-0.0187419469133733,0.0364272745509347,-0.0427517722858712,0.0428750249092822
保有資格数,-0.0360347879572381,0.0453888721837018,-0.0172688446702654,-0.0265400809028986,-0.0335080925091184,-0.0192990683444978,0.00343148846060976,-0.0454231603508657,-0.00894206579884723,-0.0336231472648571,0.00320240967574017,-0.0810956875413838,0.000667193351217546,0.00158667974611694,-0.0169037373055737,0.0146132233179146,-0.0363227421954506,1,0.0373231148628254,0.00610675549850812,-0.0645355697291354,-0.0182896014303465,-0.0207006192731755,0.0247272662389446,-0.0421649702830667,0.0193219007671494,-0.0146938125766824,-0.0394153380409154,0.00679015571471799,-0.0117808406148265,-0.0145216552510367,-0.00901508465809485,-0.0186460554667757,0.00158413895732949
英語スキル,-0.000636101754243218,0.0289435489535607,0.0280438303486865,-0.016019097636951,-0.0402176435610777,0.00925866394830971,0.321087056929657,0.00613693455915632,0.0460277347401012,-0.0316275164019155,0.00545446004031846,0.0355034780906473,0.0186528249404036,0.0310250058675944,-0.0779642540161456,-0.00308281678257571,-0.0640325032108055,0.0373231148628254,1,-0.00229312045081969,-0.0786695104013999,0.0078805901939474,-0.0296022274280209,0.0220343785289757,-0.00957166412506791,-0.00671930801049024,0.0122858669007717,0.0166193456469254,0.0404761876079186,-0.00762464408761082,0.0198041998935185,0.025027461031817,-0.0397403690471767,0.107657075952699
褒賞有無,0.0152897366389239,-0.0466322926531924,-0.0494032487033051,0.0147951049143655,0.0919784246234714,-0.0328979014354244,0.0518078634750287,-0.0103560555347198,0.0165538031049427,-0.00572713535042798,0.0457621172445924,-0.0198848998895025,0.0619290143820347,0.0553263057113447,-0.110501883830825,0.0356354335420927,-0.00836662582478592,0.00610675549850812,-0.00229312045081969,1,0.0481010214991152,0.188990447436028,0.0115570612165872,0.00993374246354672,-0.0243950051690022,0.298209371967623,-0.0303680177084371,0.0286062944334941,0.00372497953745992,0.0184123721209911,0.00896794473421529,-0.0689300563750315,0.0114544065786961,0.193608157157362
遅刻欠勤,-0.00159966121336158,-0.0121036473722918,-0.0514182560451319,0.0386236219562002,0.0206891348287804,-0.0265307325821556,-0.0616976224780537,0.0347045865348546,0.014438158869156,-0.0365101761519098,-0.0145277775758295,0.0600206180238626,-0.0321312679045322,-0.0219489245204122,0.0231556581202663,-0.0139385766441018,-0.0210378117333791,-0.0645355697291354,-0.0786695104013999,0.0481010214991152,1,-0.154967106100697,0.0270587254941904,-0.00840616850171247,-0.00617932894502529,-0.0335214295668176,0.0447277531259838,0.00676481456575847,-0.0334328929820558,-0.0136338398039812,0.0333605987655663,0.0038033615193607,0.0501159056935825,-0.161970989304563
やる気,-0.0473879912270881,-0.0100241159644514,-0.000655081575902758,0.0106263986102985,-0.00963336816952082,-0.039941890850481,0.0102347880544305,0.0026581875593516,0.00936549818754537,-0.0105397623865137,-0.0470716733354555,-0.0384030678761809,0.00324133328287499,0.00171425001633037,-0.00594828715373649,0.306272717221541,-0.0373307226035972,-0.0182896014303465,0.0078805901939474,0.188990447436028,-0.154967106100697,1,0.0107280844040394,0.0399653306121085,0.0618584713107817,0.244460218590346,0.0123259694394624,0.00451966820146507,-0.0519242876357606,0.00532432960873753,-0.059259379033474,-0.0318395787664973,0.0212390248301685,-0.0523772850787065
協調性,-0.0301357452008054,-0.0662495168928422,-0.00932909893587981,0.109851265451306,0.000342493713489586,0.00153158327518183,-0.00535261596694715,0.0498997569517967,-0.00147759948805538,0.0375104226926083,-0.00756415721863405,-0.0344613861811991,0.145126331370961,0.144615326346756,0.00610219511948796,0.0784359995396331,0.0412397928866826,-0.0207006192731755,-0.0296022274280209,0.0115570612165872,0.0270587254941904,0.0107280844040394,1,0.064709125930347,0.0342847908013806,0.085751199748106,0.0447647809753062,0.0861313306399346,0.0643027543456818,0.0693171703536749,-0.0211691003727506,0.0319891119069662,0.0405129841985342,-0.000601204517801735
プレゼンテーションスキル,0.0501159123763861,0.00660941622405129,0.0478450071457755,-0.0481193492274989,-0.0387363767260827,0.0178163471834272,-0.036639427965604,0.0720563107198284,-0.00762495889748436,0.0368979112244412,0.0348601855130705,-0.0425154984985347,0.00164613254445039,-0.0159257564983383,-0.00814607025464664,0.0467343180107124,0.0406172136591805,0.0247272662389446,0.0220343785289757,0.00993374246354672,-0.00840616850171247,0.0399653306121085,0.064709125930347,1,-0.0246068767953983,0.036661055423704,-0.0221234040985127,-0.019614439541002,-0.0059328560129766,-0.0109452014997233,-0.0342853325473158,0.00863843447652834,-0.0117588395186276,-0.00987369944330951
業務遂行能力,0.0257494190765627,-0.0233959788759361,0.0509663135180024,-0.0648044234818237,0.0375833004148551,-0.00856279738864049,-0.00587975975029502,-0.0535492224951035,-0.0198034998776298,-0.0056666107821295,0.00653790478194707,-0.0262937088027024,0.0371041393158556,0.0368646529860574,-0.0222580578185984,0.0548610074637125,-0.00400716157963585,-0.0421649702830667,-0.00957166412506791,-0.0243950051690022,-0.00617932894502529,0.0618584713107817,0.0342847908013806,-0.0246068767953983,1,0.0905426471641831,0.00863914429982548,0.0149067867542341,-0.0314890347981475,0.128037460238089,0.026385037852661,0.0501717778300734,0.02237564464708,-0.00591939602239182
総合評価,-0.0166601973050882,-0.0243489774685436,-0.036124223080232,-0.0404795548231359,0.0821373416289772,0.000755506391850282,0.0693236055444844,-0.00214511809697371,0.0786933066558412,0.316957237826634,0.0334617859221228,0.00743958842962044,0.0525378275525883,0.0305745985061913,-0.0309335138398754,0.118666685911399,0.0373938491696638,0.0193219007671494,-0.00671930801049024,0.298209371967623,-0.0335214295668176,0.244460218590346,0.085751199748106,0.036661055423704,0.0905426471641831,1,0.0219780952237103,0.0523697478862363,-0.0324734763067549,0.185474230876847,-0.0206578204445091,0.0147208202470538,0.0332128160831718,0.0183160676862132
働きがい,0.0787272223230372,-0.190785581237375,-0.0329639423089954,0.189199349276941,0.0655932907469125,0.0143825919657164,0.055395232804566,-0.00758427100940999,0.083941497437421,0.05654149891252,0.0949574246042602,-0.00328319433345466,0.0437462331419458,0.065671794447909,0.0126073711861902,0.0420658884390968,0.0779255150789634,-0.0146938125766824,0.0122858669007717,-0.0303680177084371,0.0447277531259838,0.0123259694394624,0.0447647809753062,-0.0221234040985127,0.00863914429982548,0.0219780952237103,1,0.260572075067538,0.216347818245789,0.0173161253457138,0.149165776904925,-0.0577700454576194,-0.00584558940858248,0.175833676015856
人間関係,0.0173311512839639,-0.493917244513943,-0.0258373953061463,0.376008447649805,0.233103214310989,-0.0223637668848815,0.0324254008972231,-0.0357361833803499,0.0602944451445985,-0.00584104451690052,0.0673461514524547,-0.00461188409543221,0.0129023635612742,0.0130890396818387,-0.0384710100872882,-0.0137439490630213,-0.00420312924764982,-0.0394153380409154,0.0166193456469254,0.0286062944334941,0.00676481456575847,0.00451966820146507,0.0861313306399346,-0.019614439541002,0.0149067867542341,0.0523697478862363,0.260572075067538,1,0.180128747192542,0.086870556817973,0.102181424220729,-0.0443076460033193,0.145436776910191,0.223685836663188
ワークライフバランス,0.0422154937714661,-0.201562520300586,0.0436904351696678,0.301971948549318,-0.0106287707456721,-0.00130079503152304,0.0317244053169689,-0.00177468409092155,0.0185600412639914,0.057668091807426,0.0646938800168606,-0.00669300444225921,0.0342602250638043,0.0409241238141619,0.00865820674631661,0.0330497333007684,0.0512831877689874,0.00679015571471799,0.0404761876079186,0.00372497953745992,-0.0334328929820558,-0.0519242876357606,0.0643027543456818,-0.0059328560129766,-0.0314890347981475,-0.0324734763067549,0.216347818245789,0.180128747192542,1,0.00575858848494822,0.077197682226287,-0.003472515052414,-0.0620437440117239,0.357725927907417
自分の評価への満足度,0.00763899108050322,-0.0284239891294278,0.0111968334768571,0.018295601963438,0.00356330192335302,0.0447198209429735,-0.0432119006532975,-0.000574587841971745,-0.0261338248654038,0.0279860314660394,0.0576555812514173,-0.0343602269319191,0.0563961197311465,0.0126142542357679,0.0232413026579539,0.0780803709020052,0.00896211272744245,-0.0117808406148265,-0.00762464408761082,0.0184123721209911,-0.0136338398039812,0.00532432960873753,0.0693171703536749,-0.0109452014997233,0.128037460238089,0.185474230876847,0.0173161253457138,0.086870556817973,0.00575858848494822,1,0.036728850259079,0.00470551477790024,0.110659512050711,0.102527585802548
上司面談有無,0.0464602464122945,-0.0963097665057126,0.0122594732437627,0.0463297726271664,0.0446706064677383,-0.0260220600539236,0.0274141732100335,0.00875562176326457,0.0892579007038803,0.0290221491679968,0.0137229052264688,-0.0729761949180571,0.0397878127022665,0.047166007146635,-0.0505773567798118,-0.0579254385204286,-0.0187419469133733,-0.0145216552510367,0.0198041998935185,0.00896794473421529,0.0333605987655663,-0.059259379033474,-0.0211691003727506,-0.0342853325473158,0.026385037852661,-0.0206578204445091,0.149165776904925,0.102181424220729,0.077197682226287,0.036728850259079,1,-0.0944532110660402,-0.0126156422339499,0.363729147980835
定期健診フラグ,-0.0296568878205017,0.0514164409525841,0.00238806665346422,0.0179941772398203,-0.105423783733514,0.0203482429717767,0.0115239688696548,0.023298642835434,-0.0400168111599593,0.0147839735595839,-0.0356775539435694,0.0278430362659814,0.0226381899074863,-0.0108713215622367,0.215491158952913,-0.0746312249587298,0.0364272745509347,-0.00901508465809485,0.025027461031817,-0.0689300563750315,0.0038033615193607,-0.0318395787664973,0.0319891119069662,0.00863843447652834,0.0501717778300734,0.0147208202470538,-0.0577700454576194,-0.0443076460033193,-0.003472515052414,0.00470551477790024,-0.0944532110660402,1,0.0239858564684321,-0.0939738517503912
ストレスチェック,-0.0248946201875729,-0.0574400218646618,-0.0220016486288424,0.0795010662202718,-0.0256337429206219,-0.0435593408509638,0.0108881439740757,0.276582690112178,-0.0321294501915718,-0.0152234748075027,-0.00959616031920976,-0.0638569803663896,0.0253321012680658,0.00965799988159118,0.0695945329316361,0.0801325468631878,-0.0427517722858712,-0.0186460554667757,-0.0397403690471767,0.0114544065786961,0.0501159056935825,0.0212390248301685,0.0405129841985342,-0.0117588395186276,0.02237564464708,0.0332128160831718,-0.00584558940858248,0.145436776910191,-0.0620437440117239,0.110659512050711,-0.0126156422339499,0.0239858564684321,1,-0.32447010575778
エンゲージメントスコア,0.0774025537908585,-0.118555640485088,0.001716594223017,0.127066341395597,0.0723032091551746,-0.132838105899316,0.145259493699233,-0.121101263285071,0.118232477657738,0.0513369045992154,0.0862655949928747,-0.0286389934470477,0.0262556519544932,0.00606722629797229,-0.187143199897642,-0.0738233350064453,0.0428750249092822,0.00158413895732949,0.107657075952699,0.193608157157362,-0.161970989304563,-0.0523772850787065,-0.000601204517801735,-0.00987369944330951,-0.00591939602239182,0.0183160676862132,0.175833676015856,0.223685836663188,0.357725927907417,0.102527585802548,0.363729147980835,-0.0939738517503912,-0.32447010575778,1
