ì˙ït,Ç¬Ç‘Ç‚Ç´êî,îÑè„
2011/7/25,1508,75
2011/7/26,1134,76
2011/7/27,1280,82
2011/7/28,1412,83
2011/7/29,1299,82
2011/7/30,1466,78
2011/7/31,1477,79
2011/8/1,1318,76
2011/8/2,1277,82
2011/8/3,1332,78
2011/8/4,1429,81
2011/8/5,1367,81
2011/8/6,1430,79
2011/8/7,1209,81
2011/8/8,1267,82
2011/8/9,1206,81
2011/8/10,1545,84
2011/8/11,1604,78
2011/8/12,1491,83
2011/8/13,1459,78
2011/8/14,1313,80
2011/8/15,1221,78
2011/8/16,1657,84
2011/8/17,1430,84
2011/8/18,1427,81
2011/8/19,1693,84
2011/8/20,1375,84
2011/8/21,1603,77
2011/8/22,1408,85
2011/8/23,1436,83
2011/8/24,1582,82
2011/8/25,1250,78
2011/8/26,1280,81
2011/8/27,1388,82
2011/8/28,1301,80
2011/8/29,1509,84
2011/8/30,1437,86
2011/8/31,1237,82
2011/9/1,1382,86
2011/9/2,1204,81
2011/9/3,1267,80
2011/9/4,1431,84
2011/9/5,1391,81
2011/9/6,1514,84
2011/9/7,1278,82
2011/9/8,1354,78
2011/9/9,1453,79
2011/9/10,1549,86
2011/9/11,1363,78
2011/9/12,1587,80
2011/9/13,1335,83
2011/9/14,1242,80
2011/9/15,1230,86
2011/9/16,1345,86
2011/9/17,1515,83
2011/9/18,1284,81
2011/9/19,1477,84
2011/9/20,1443,81
2011/9/21,1358,83
2011/9/22,1186,84
2011/9/23,1289,79
2011/9/24,1515,86
2011/9/25,1411,85
2011/9/26,1205,84
2011/9/27,1371,84
2011/9/28,1365,81
2011/9/29,1306,81
2011/9/30,1335,82
2011/10/1,1275,81
2011/10/2,1409,82
2011/10/3,1570,88
2011/10/4,1491,81
2011/10/5,1522,81
2011/10/6,1490,87
2011/10/7,1635,87
2011/10/8,1532,82
2011/10/9,1372,84
2011/10/10,1532,84
2011/10/11,1496,83
2011/10/12,1353,88
2011/10/13,1292,81
2011/10/14,1359,85
2011/10/15,1562,86
2011/10/16,1385,87
2011/10/17,1325,87
2011/10/18,1519,81
2011/10/19,1637,89
2011/10/20,1532,85
2011/10/21,1358,86
2011/10/22,1448,86
2011/10/23,1382,87
2011/10/24,1468,89
2011/10/25,1476,87
2011/10/26,1561,87
2011/10/27,1566,89
2011/10/28,1477,85
2011/10/29,1415,89
2011/10/30,1453,82
2011/10/31,1484,83
2011/11/1,1436,86
2011/11/2,1356,83
2011/11/3,1433,88
2011/11/4,1338,85
2011/11/5,1505,85
2011/11/6,1514,89
2011/11/7,1433,83
2011/11/8,1560,90
2011/11/9,1550,85
2011/11/10,1410,88
2011/11/11,1351,84
2011/11/12,1421,86
2011/11/13,1320,87
2011/11/14,1589,90
2011/11/15,1382,88
2011/11/16,1483,86
2011/11/17,1274,89
2011/11/18,1320,84
2011/11/19,1395,86
2011/11/20,1366,85
2011/11/21,1341,87
2011/11/22,1423,83
2011/11/23,1478,91
2011/11/24,1297,91
2011/11/25,1641,92
2011/11/26,1526,89
2011/11/27,1339,89
2011/11/28,1398,89
2011/11/29,1491,86
2011/11/30,1302,86
2011/12/1,1714,93
2011/12/2,1552,91
2011/12/3,1408,86
2011/12/4,1227,89
2011/12/5,1428,93
2011/12/6,1370,89
2011/12/7,1498,94
2011/12/8,1212,88
2011/12/9,1311,91
2011/12/10,1433,93
2011/12/11,1589,89
2011/12/12,1511,90
2011/12/13,1313,88
2011/12/14,1519,89
2011/12/15,1403,92
2011/12/16,1422,93
2011/12/17,1519,87
2011/12/18,1778,94
2011/12/19,1408,90
2011/12/20,1586,90
2011/12/21,1211,87
2011/12/22,1592,87
2011/12/23,1523,92
2011/12/24,1556,90
2011/12/25,1457,94
2011/12/26,1590,93
2011/12/27,1568,87
2011/12/28,1576,88
2011/12/29,1439,89
2011/12/30,1681,96
2011/12/31,1281,89
2012/1/1,1504,92
2012/1/2,1450,89
2012/1/3,1587,91
2012/1/4,1501,94
2012/1/5,1400,91
2012/1/6,1243,92
2012/1/7,1766,96
2012/1/8,1648,92
2012/1/9,1403,93
2012/1/10,1540,95
2012/1/11,1658,98
2012/1/12,1502,97
2012/1/13,1633,98
2012/1/14,1483,98
2012/1/15,1733,97
2012/1/16,1571,91
2012/1/17,1646,94
2012/1/18,1430,94
2012/1/19,1346,99
2012/1/20,1473,92
2012/1/21,1583,94
2012/1/22,1506,98
2012/1/23,1540,101
2012/1/24,1426,100
2012/1/25,1592,101
2012/1/26,1564,101
2012/1/27,1351,99
2012/1/28,1495,99
2012/1/29,1599,101
2012/1/30,1549,98
2012/1/31,1502,94
2012/2/1,1718,99
2012/2/2,1529,98
2012/2/3,1285,95
2012/2/4,1793,102
2012/2/5,1591,103
2012/2/6,1533,101
2012/2/7,1467,99
2012/2/8,1559,99
2012/2/9,1600,102
2012/2/10,1545,101
2012/2/11,1486,104
2012/2/12,1548,103
2012/2/13,1715,103
2012/2/14,1440,98
2012/2/15,1669,104
2012/2/16,1568,105
2012/2/17,1485,98
2012/2/18,1683,104
2012/2/19,1496,102
2012/2/20,1465,103
2012/2/21,1355,102
2012/2/22,1589,103
2012/2/23,1622,100
2012/2/24,1490,102
2012/2/25,1627,103
2012/2/26,1607,101
2012/2/27,1710,100
2012/2/28,1647,100
2012/2/29,1572,101
2012/3/1,1436,103
2012/3/2,1523,101
2012/3/3,1525,109
2012/3/4,1622,102
2012/3/5,1691,104
2012/3/6,1605,110
2012/3/7,1497,104
2012/3/8,1612,110
2012/3/9,1671,108
2012/3/10,1698,111
2012/3/11,1641,108
2012/3/12,1750,112
2012/3/13,1317,108
2012/3/14,1732,108
2012/3/15,1815,110
2012/3/16,1693,117
2012/3/17,1519,117
2012/3/18,1768,109
2012/3/19,1732,111
2012/3/20,1694,109
2012/3/21,1844,116
2012/3/22,1689,114
2012/3/23,1640,116
2012/3/24,1645,118
2012/3/25,1759,123
2012/3/26,1887,117
2012/3/27,1755,121
2012/3/28,1868,120
2012/3/29,2062,117
2012/3/30,1711,125
2012/3/31,1546,125
