日付,プログラム,NW,DB,OS,統計
2015/7/8,34,74,46,76,19
2015/7/9,32,73,45,75,18
2015/7/10,31,71,44,74,16
2015/7/11,33,68,40,70,14
2015/7/12,34,75,47,77,20
2015/7/13,37,77,49,79,22
2015/7/14,37,67,45,75,10
2015/7/15,36,65,43,73,11
2015/7/16,32,69,41,71,15
2015/7/17,31,70,42,72,16
2015/7/18,34,74,47,77,20
2015/7/19,31,71,44,74,17
2015/7/20,40,69,47,77,8
2015/7/21,33,68,40,70,15
2015/7/22,32,73,45,75,19
2015/7/23,38,68,46,76,10
2015/7/24,30,71,43,73,18
2015/7/25,31,70,42,72,16
2015/7/26,33,74,46,76,21
2015/7/27,36,77,49,79,23
2015/7/28,35,76,48,78,22
2015/7/29,35,76,48,78,23
2015/7/30,31,73,45,75,20
2015/7/31,35,77,48,78,23
2015/8/1,33,74,46,76,21
2015/8/2,36,78,49,79,24
2015/8/3,36,78,49,79,24
2015/8/4,33,74,46,76,21
2015/8/5,30,71,43,73,19
2015/8/6,31,70,42,72,18
2015/8/7,31,71,42,72,18
2015/8/8,35,76,48,78,23
2015/8/9,36,66,42,72,15
2015/8/10,33,75,46,76,22
2015/8/11,35,77,49,79,24
2015/8/12,38,66,45,75,13
2015/8/13,32,70,41,71,18
2015/8/14,31,73,44,74,21
2015/8/15,36,78,50,80,26
2015/8/16,36,78,49,79,26
2015/8/17,35,77,48,78,25
2015/8/18,32,74,45,75,22
2015/8/19,30,72,44,74,21
2015/8/20,35,77,48,78,25
2015/8/21,35,77,49,79,25
2015/8/22,31,73,44,74,22
2015/8/23,32,71,42,72,20
2015/8/24,32,74,46,76,23
2015/8/25,32,70,41,71,19
2015/8/26,31,74,45,75,22
2015/8/27,32,70,41,71,19
2015/8/28,35,77,49,79,26
2015/8/29,32,75,46,76,24
2015/8/30,31,72,43,73,21
2015/8/31,31,73,45,75,22
2015/9/1,30,72,44,74,22
2015/9/2,31,71,43,73,21
2015/9/3,34,77,48,78,26
2015/9/4,31,72,43,73,21
2015/9/5,30,72,44,74,22
2015/9/6,34,77,48,78,26
2015/9/7,30,73,44,74,23
2015/9/8,35,77,49,79,27
2015/9/9,31,71,42,72,22
2015/9/10,43,70,49,79,12
2015/9/11,33,70,41,71,20
2015/9/12,31,72,43,73,22
2015/9/13,33,70,41,71,21
2015/9/14,31,72,43,73,23
2015/9/15,42,69,48,78,13
2015/9/16,34,69,40,70,20
2015/9/17,31,74,45,75,24
2015/9/18,32,75,46,76,25
2015/9/19,34,69,40,70,20
2015/9/20,32,71,42,72,22
2015/9/21,36,67,42,72,18
2015/9/22,33,76,47,77,26
2015/9/23,33,70,41,71,21
2015/9/24,33,76,47,77,26
2015/9/25,31,73,43,73,23
2015/9/26,30,73,44,74,24
2015/9/27,32,72,42,72,23
2015/9/28,32,75,46,76,26
2015/9/29,35,78,49,79,28
2015/9/30,34,77,48,78,28
2015/10/1,31,74,45,75,25
2015/10/2,32,75,46,76,25
2015/10/3,31,74,45,75,25
2015/10/4,31,72,43,73,23
2015/10/5,33,77,47,77,27
2015/10/6,32,72,42,72,23
2015/10/7,32,72,42,72,23
2015/10/8,30,74,44,74,25
2015/10/9,32,72,42,72,23
2015/10/10,34,70,40,70,21
2015/10/11,32,76,47,77,27
2015/10/12,34,69,40,70,21
2015/10/13,38,66,44,74,18
2015/10/14,31,75,45,75,26
2015/10/15,32,72,42,72,23
2015/10/16,32,72,42,72,24
2015/10/17,34,77,48,78,29
2015/10/18,30,74,45,75,26
2015/10/19,34,70,41,71,23
2015/10/20,30,74,45,75,26
2015/10/21,33,71,42,72,24
2015/10/22,35,79,49,79,31
2015/10/23,32,72,43,73,25
2015/10/24,35,79,49,79,31
2015/10/25,31,73,43,73,26
2015/10/26,32,72,42,72,25
2015/10/27,34,70,41,71,24
2015/10/28,34,70,41,71,24
2015/10/29,31,74,44,74,27
2015/10/30,32,73,43,73,26
2015/10/31,34,78,48,78,31
2015/11/1,33,71,41,71,25
2015/11/2,34,79,49,79,32
2015/11/3,38,66,44,74,21
2015/11/4,34,70,41,71,24
2015/11/5,34,78,49,79,31
2015/11/6,33,72,42,72,26
2015/11/7,32,77,47,77,30
2015/11/8,35,79,50,80,32
2015/11/9,34,79,49,79,32
2015/11/10,32,77,47,77,31
2015/11/11,34,71,41,71,26
2015/11/12,31,76,46,76,30
2015/11/13,31,74,44,74,28
2015/11/14,33,78,48,78,32
2015/11/15,33,72,42,72,26
2015/11/16,34,79,49,79,33
2015/11/17,32,73,43,73,28
2015/11/18,33,72,42,72,27
2015/11/19,30,76,45,75,30
2015/11/20,34,72,42,72,27
2015/11/21,31,76,46,76,31
2015/11/22,31,76,46,76,30
2015/11/23,35,70,40,70,26
2015/11/24,30,75,45,75,30
2015/11/25,31,74,44,74,29
2015/11/26,31,76,46,76,31
2015/11/27,35,70,40,70,26
2015/11/28,31,74,44,74,30
2015/11/29,30,75,45,75,31
2015/11/30,32,77,47,77,32
2015/12/1,33,72,42,72,28
2015/12/2,30,75,45,75,31
2015/12/3,31,74,44,74,30
2015/12/4,32,73,43,73,29
2015/12/5,34,72,42,72,28
2015/12/6,32,78,47,77,33
2015/12/7,33,79,48,78,34
2015/12/8,34,71,41,71,28
2015/12/9,34,79,49,79,34
2015/12/10,33,79,49,79,34
2015/12/11,33,73,43,73,29
2015/12/12,35,70,40,70,27
2015/12/13,37,68,42,72,25
2015/12/14,30,76,45,75,31
2015/12/15,31,75,45,75,31
2015/12/16,35,71,41,71,28
2015/12/17,31,75,44,74,31
2015/12/18,32,78,48,78,34
2015/12/19,31,75,44,74,31
2015/12/20,32,77,47,77,33
2015/12/21,33,79,49,79,35
2015/12/22,33,73,42,72,29
2015/12/23,34,72,41,71,29
2015/12/24,35,71,41,71,28
2015/12/25,33,79,49,79,35
2015/12/26,34,72,41,71,29
2015/12/27,32,78,48,78,35
2015/12/28,34,80,50,80,36
2015/12/29,33,73,43,73,30
2015/12/30,34,72,42,72,29
2015/12/31,30,77,46,76,33
2016/1/1,34,73,42,72,30
2016/1/2,33,74,43,73,31
2016/1/3,31,77,47,77,34
2016/1/4,32,78,47,77,35
2016/1/5,30,76,45,75,33
2016/1/6,32,79,48,78,35
2016/1/7,31,78,47,77,34
2016/1/8,32,74,44,74,32
2016/1/9,41,65,45,75,24
2016/1/10,32,79,48,78,36
2016/1/11,34,72,41,71,30
2016/1/12,34,80,49,79,37
2016/1/13,30,76,46,76,34
2016/1/14,33,74,43,73,31
2016/1/15,33,80,49,79,37
2016/1/16,33,79,48,78,36
2016/1/17,33,80,49,79,37
2016/1/18,31,78,47,77,35
2016/1/19,32,75,44,74,33
2016/1/20,34,81,50,80,37
2016/1/21,33,74,43,73,32
2016/1/22,32,75,44,74,33
2016/1/23,36,71,40,70,29
2016/1/24,31,76,45,75,34
2016/1/25,30,77,46,76,34
2016/1/26,36,71,40,70,30
2016/1/27,33,80,49,79,37
2016/1/28,36,71,40,70,30
2016/1/29,31,78,47,77,36
2016/1/30,31,76,45,75,34
2016/1/31,35,72,41,71,31
2016/2/1,35,72,41,71,31
2016/2/2,36,71,40,70,30
2016/2/3,34,81,50,80,38
2016/2/4,34,73,42,72,32
2016/2/5,36,71,40,70,30
2016/2/6,33,74,43,73,32
2016/2/7,30,77,46,76,35
2016/2/8,33,74,43,73,32
2016/2/9,34,73,42,72,31
2016/2/10,33,80,49,79,38
2016/2/11,33,80,49,79,38
2016/2/12,31,76,45,75,35
2016/2/13,34,73,42,72,32
2016/2/14,36,71,40,70,30
2016/2/15,35,72,41,71,31
2016/2/16,32,79,48,78,37
2016/2/17,32,79,48,78,37
2016/2/18,30,77,46,76,36
2016/2/19,31,76,45,75,34
2016/2/20,32,76,45,75,34
2016/2/21,33,74,43,73,33
2016/2/22,35,72,41,71,31
2016/2/23,36,72,40,70,31
2016/2/24,32,80,49,79,38
2016/2/25,36,72,40,70,31
2016/2/26,35,72,41,71,31
2016/2/27,30,78,46,76,36
2016/2/28,36,71,40,70,31
2016/3/1,31,76,45,75,35
2016/3/2,33,81,50,80,39
2016/3/3,30,77,46,76,36
2016/3/4,34,81,50,80,40
2016/3/5,32,79,48,78,38
2016/3/6,35,73,41,71,32
2016/3/7,35,72,41,71,32
2016/3/8,32,75,44,74,35
2016/3/9,33,81,50,80,40
2016/3/10,31,76,45,75,36
2016/3/11,35,72,41,71,33
2016/3/12,35,72,41,71,33
2016/3/13,33,75,43,73,35
2016/3/14,34,74,42,72,34
2016/3/15,32,79,48,78,39
2016/3/16,34,73,42,72,34
2016/3/17,36,72,41,71,33
2016/3/18,33,75,44,74,36
2016/3/19,30,78,47,77,38
2016/3/20,32,80,49,79,40
2016/3/21,36,72,41,71,33
2016/3/22,36,72,41,71,33
2016/3/23,34,74,43,73,35
2016/3/24,33,81,50,80,41
2016/3/25,33,75,43,73,36
2016/3/26,33,75,44,74,36
2016/3/27,32,80,48,78,40
2016/3/28,31,77,46,76,38
2016/3/29,34,74,43,73,35
2016/3/30,34,74,43,73,35
2016/3/31,37,71,41,71,33
2016/4/1,32,76,45,75,37
2016/4/2,33,75,43,73,36
2016/4/3,32,81,49,79,41
2016/4/4,33,81,49,79,42
2016/4/5,36,72,41,71,34
2016/4/6,31,80,48,78,40
2016/4/7,33,76,44,74,37
2016/4/8,31,79,47,77,40
2016/4/9,32,76,45,75,37
2016/4/10,33,82,50,80,42
2016/4/11,31,79,48,78,40
2016/4/12,33,76,44,74,37
2016/4/13,36,72,41,71,34
2016/4/14,31,80,48,78,41
2016/4/15,35,74,42,72,36
2016/4/16,33,76,44,74,37
2016/4/17,37,72,40,70,34
2016/4/18,30,78,47,77,40
2016/4/19,33,75,44,74,37
2016/4/20,33,81,49,79,42
2016/4/21,37,72,40,70,34
2016/4/22,34,75,43,73,37
2016/4/23,33,75,43,73,37
2016/4/24,32,80,49,79,41
2016/4/25,35,74,42,72,36
2016/4/26,32,81,49,79,42
2016/4/27,33,82,50,80,43
2016/4/28,32,81,49,79,42
2016/4/29,31,80,48,78,41
2016/4/30,32,81,49,79,42
2016/5/1,31,80,48,78,41
2016/5/2,31,78,46,76,39
2016/5/3,32,77,45,75,38
2016/5/4,32,81,49,79,42
2016/5/5,33,81,50,80,43
2016/5/6,35,73,41,71,36
2016/5/7,31,78,46,76,39
2016/5/8,32,81,49,79,42
2016/5/9,32,81,49,79,42
2016/5/10,31,80,48,78,41
2016/5/11,31,80,48,78,42
2016/5/12,37,72,40,70,35
2016/5/13,30,79,47,77,41
2016/5/14,32,81,49,79,42
2016/5/15,31,78,46,76,40
2016/5/16,34,75,43,73,37
2016/5/17,37,72,40,70,35
2016/5/18,34,75,43,73,37
2016/5/19,35,74,42,72,37
2016/5/20,31,78,46,76,40
2016/5/21,31,80,48,78,42
2016/5/22,32,77,45,75,39
2016/5/23,34,75,43,73,38
2016/5/24,33,82,50,80,44
2016/5/25,32,81,49,79,43
2016/5/26,32,81,49,79,43
2016/5/27,37,72,40,70,35
2016/5/28,30,79,47,77,41
2016/5/29,34,75,43,73,38
2016/5/30,34,75,43,73,38
2016/5/31,32,81,49,79,44
2016/6/1,34,75,43,73,38
2016/6/2,37,73,41,71,36
2016/6/3,32,81,49,79,43
2016/6/4,33,77,44,74,39
2016/6/5,36,73,41,71,36
2016/6/6,37,72,40,70,36
2016/6/7,34,75,43,73,39
2016/6/8,30,80,48,78,42
2016/6/9,32,78,46,76,41
2016/6/10,37,72,40,70,36
2016/6/11,34,76,44,74,39
2016/6/12,38,72,41,71,35
2016/6/13,34,76,43,73,39
2016/6/14,32,82,50,80,44
2016/6/15,31,80,48,78,43
2016/6/16,36,73,41,71,37
2016/6/17,37,72,40,70,36
2016/6/18,34,75,43,73,39
2016/6/19,37,72,40,70,36
2016/6/20,36,73,41,71,37
2016/6/21,35,74,42,72,38
2016/6/22,33,77,45,75,40
2016/6/23,32,82,50,80,45
2016/6/24,35,74,42,72,38
2016/6/25,32,78,45,75,41
2016/6/26,35,74,42,72,38
2016/6/27,31,79,47,77,42
2016/6/28,36,74,41,71,38
2016/6/29,31,79,46,76,42
2016/6/30,36,74,41,71,38
2016/7/1,31,79,47,77,43
2016/7/2,34,76,43,73,40
2016/7/3,32,82,49,79,45
2016/7/4,35,75,43,73,39
2016/7/5,32,78,46,76,42
2016/7/6,30,79,47,77,43
2016/7/7,32,82,49,79,45
2016/7/8,31,79,47,77,43
2016/7/9,34,76,43,73,40
2016/7/10,34,76,43,73,40
2016/7/11,32,82,49,79,45
2016/7/12,31,81,49,79,45
2016/7/13,34,75,43,73,40
2016/7/14,36,74,41,71,39
2016/7/15,37,73,40,70,38
2016/7/16,35,76,43,73,40
2016/7/17,31,79,46,76,43
2016/7/18,31,81,49,79,45
2016/7/19,37,73,41,71,38
2016/7/20,33,77,44,74,42
2016/7/21,34,76,44,74,41
2016/7/22,32,79,46,76,43
2016/7/23,32,78,46,76,43
2016/7/24,35,76,43,73,41
2016/7/25,37,74,41,71,39
2016/7/26,31,79,47,77,44
2016/7/27,35,76,43,73,41
2016/7/28,31,80,47,77,44
2016/7/29,31,79,47,77,44
2016/7/30,35,76,43,73,41
2016/7/31,31,80,47,77,44
2016/8/1,32,78,46,76,43
2016/8/2,35,76,43,73,41
2016/8/3,34,77,44,74,42
2016/8/4,31,82,49,79,47
2016/8/5,35,75,42,72,41
2016/8/6,32,78,45,75,43
2016/8/7,38,73,40,70,39
2016/8/8,31,79,46,76,44
2016/8/9,31,80,47,77,45
2016/8/10,30,81,48,78,46
2016/8/11,32,79,46,76,44
2016/8/12,35,75,43,73,41
2016/8/13,31,80,47,77,45
2016/8/14,31,81,48,78,46
2016/8/15,32,82,50,80,47
2016/8/16,31,81,49,79,47
2016/8/17,34,76,43,73,42
2016/8/18,36,75,42,72,41
2016/8/19,34,77,44,74,43
2016/8/20,32,82,50,80,48
2016/8/21,34,77,44,74,43
2016/8/22,30,81,48,78,47
2016/8/23,31,82,49,79,47
2016/8/24,38,73,40,70,40
2016/8/25,30,81,48,78,47
2016/8/26,31,80,47,77,46
2016/8/27,35,76,43,73,42
2016/8/28,31,80,47,77,46
2016/8/29,33,78,45,75,44
2016/8/30,35,76,43,73,42
2016/8/31,32,78,46,76,45
2016/9/1,32,78,46,76,45
2016/9/2,35,76,43,73,43
2016/9/3,38,73,40,70,40
2016/9/4,31,80,47,77,46
2016/9/5,35,77,44,74,43
2016/9/6,35,76,43,73,43
2016/9/7,33,78,45,75,44
2016/9/8,37,74,41,71,41
2016/9/9,31,80,47,77,47
2016/9/10,35,76,43,73,43
2016/9/11,31,82,49,79,48
2016/9/12,38,73,40,70,41
2016/9/13,33,78,45,75,45
2016/9/14,34,77,44,74,44
2016/9/15,32,79,46,76,46
2016/9/16,34,77,44,74,44
2016/9/17,36,75,42,72,42
2016/9/18,36,75,42,72,42
2016/9/19,31,80,47,77,47
2016/9/20,30,81,48,78,47
2016/9/21,32,79,46,76,46
2016/9/22,31,82,49,79,49
2016/9/23,35,77,44,74,44
2016/9/24,30,82,49,79,48
2016/9/25,36,75,42,72,42
2016/9/26,35,76,43,73,43
2016/9/27,34,77,44,74,44
2016/9/28,38,74,41,71,41
2016/9/29,35,77,44,74,44
2016/9/30,35,76,43,73,44
2016/10/1,30,81,48,78,48
2016/10/2,32,79,46,76,46
2016/10/3,35,77,43,73,44
2016/10/4,35,77,43,73,44
2016/10/5,31,80,47,77,48
2016/10/6,34,77,44,74,45
2016/10/7,38,74,41,71,42
2016/10/8,31,83,50,80,50
2016/10/9,38,74,40,70,42
2016/10/10,37,74,41,71,43
2016/10/11,31,83,49,79,50
2016/10/12,38,73,40,70,42
2016/10/13,33,79,45,75,47
2016/10/14,30,82,48,78,49
2016/10/15,31,83,49,79,50
2016/10/16,32,80,46,76,48
2016/10/17,33,79,46,76,47
2016/10/18,30,82,48,78,49
2016/10/19,37,75,41,71,43
2016/10/20,31,81,48,78,49
2016/10/21,36,76,43,73,45
2016/10/22,35,77,44,74,46
2016/10/23,37,75,42,72,44
2016/10/24,32,80,46,76,48
2016/10/25,31,81,47,77,49
2016/10/26,31,83,50,80,51
2016/10/27,34,78,45,75,47
2016/10/28,31,83,49,79,51
2016/10/29,34,78,44,74,47
2016/10/30,33,79,45,75,47
2016/10/31,30,83,49,79,51
2016/11/1,36,76,42,72,45
2016/11/2,35,77,44,74,46
2016/11/3,37,76,42,72,45
2016/11/4,31,83,50,80,51
2016/11/5,38,74,41,71,43
2016/11/6,37,75,41,71,44
2016/11/7,36,76,42,72,45
2016/11/8,34,78,44,74,47
2016/11/9,35,77,44,74,46
2016/11/10,33,79,45,75,48
2016/11/11,37,75,41,71,44
2016/11/12,34,79,45,75,48
2016/11/13,31,82,48,78,50
2016/11/14,31,81,47,77,49
2016/11/15,34,78,44,74,47
2016/11/16,31,83,50,80,52
2016/11/17,32,80,47,77,49
2016/11/18,33,80,46,76,48
2016/11/19,34,78,44,74,47
2016/11/20,37,76,42,72,45
2016/11/21,30,82,49,79,51
2016/11/22,31,83,50,80,52
2016/11/23,37,75,42,72,45
2016/11/24,36,76,43,73,46
2016/11/25,36,76,43,73,46
2016/11/26,30,83,49,79,51
2016/11/27,35,78,44,74,47
2016/11/28,34,78,45,75,48
2016/11/29,31,81,48,78,51
2016/11/30,32,81,47,77,50
2016/12/1,37,75,42,72,45
2016/12/2,37,75,41,71,45
2016/12/3,37,76,42,72,46
2016/12/4,34,79,45,75,48
2016/12/5,34,79,45,75,48
2016/12/6,37,76,42,72,46
2016/12/7,35,78,44,74,48
2016/12/8,32,81,47,77,50
2016/12/9,31,81,48,78,51
2016/12/10,34,79,45,75,49
2016/12/11,33,79,45,75,49
2016/12/12,37,76,42,72,46
2016/12/13,37,75,42,72,46
2016/12/14,37,76,42,72,46
2016/12/15,38,74,41,71,45
2016/12/16,35,78,44,74,48
2016/12/17,37,76,42,72,47
2016/12/18,34,79,45,75,49
2016/12/19,33,80,46,76,50
2016/12/20,37,76,42,72,47
2016/12/21,36,77,43,73,47
2016/12/22,33,80,46,76,50
2016/12/23,34,79,45,75,49
2016/12/24,35,78,44,74,48
2016/12/25,31,82,48,78,52
2016/12/26,36,77,43,73,47
2016/12/27,38,75,41,71,46
2016/12/28,32,81,47,77,51
2016/12/29,33,80,46,76,50
2016/12/30,38,76,42,72,47
2016/12/31,39,74,40,70,46
2017/1/1,30,83,49,79,53
2017/1/2,35,79,45,75,49
2017/1/3,36,77,43,73,48
2017/1/4,31,82,48,78,52
2017/1/5,38,75,41,71,47
2017/1/6,34,79,45,75,50
2017/1/7,38,76,42,72,47
2017/1/8,34,79,45,75,50
2017/1/9,33,80,46,76,51
2017/1/10,31,82,48,78,53
2017/1/11,32,81,47,77,52
2017/1/12,39,74,40,70,46
2017/1/13,33,81,46,76,51
2017/1/14,39,75,40,70,46
2017/1/15,39,74,40,70,46
2017/1/16,34,79,45,75,50
2017/1/17,34,80,46,76,51
2017/1/18,32,82,48,78,53
2017/1/19,38,76,42,72,47
2017/1/20,31,82,48,78,53
2017/1/21,35,79,44,74,50
2017/1/22,31,83,48,78,53
2017/1/23,33,81,46,76,52
2017/1/24,35,79,45,75,50
2017/1/25,35,78,44,74,50
2017/1/26,37,77,42,72,48
2017/1/27,36,77,43,73,49
2017/1/28,37,77,42,72,49
2017/1/29,37,77,42,72,49
2017/1/30,31,83,49,79,54
2017/1/31,33,80,46,76,52
2017/2/1,34,80,45,75,51
2017/2/2,33,80,46,76,52
2017/2/3,38,76,42,72,48
2017/2/4,32,82,48,78,53
2017/2/5,31,83,48,78,54
2017/2/6,38,76,41,71,48
2017/2/7,31,83,48,78,54
2017/2/8,35,79,45,75,51
2017/2/9,30,84,49,79,55
2017/2/10,33,81,46,76,52
2017/2/11,31,83,49,79,55
2017/2/12,39,75,40,70,47
2017/2/13,32,82,47,77,54
2017/2/14,32,82,48,78,54
2017/2/15,33,81,47,77,53
2017/2/16,37,77,42,72,50
2017/2/17,31,83,49,79,55
2017/2/18,30,84,50,80,56
2017/2/19,39,75,41,71,48
2017/2/20,34,80,46,76,53
2017/2/21,32,82,48,78,54
2017/2/22,36,78,43,73,50
2017/2/23,39,76,41,71,49
2017/2/24,31,83,48,78,55
2017/2/25,34,81,46,76,53
2017/2/26,38,76,41,71,49
2017/2/27,37,77,43,73,50
2017/2/28,39,76,41,71,49
2017/3/1,35,79,44,74,52
2017/3/2,39,75,40,70,48
2017/3/3,35,79,45,75,52
2017/3/4,34,80,45,75,52
2017/3/5,33,81,46,76,53
2017/3/6,35,79,45,75,52
2017/3/7,31,84,49,79,56
2017/3/8,32,83,48,78,55
2017/3/9,37,78,43,73,51
2017/3/10,38,76,41,71,49
2017/3/11,31,83,49,79,56
2017/3/12,30,84,50,80,57
2017/3/13,38,76,42,72,50
2017/3/14,31,83,49,79,56
2017/3/15,34,80,45,75,53
2017/3/16,38,76,41,71,49
2017/3/17,35,79,44,74,52
2017/3/18,33,81,46,76,54
2017/3/19,35,80,45,75,53
2017/3/20,36,78,43,73,51
2017/3/21,31,83,48,78,56
2017/3/22,37,77,43,73,51
2017/3/23,35,79,44,74,52
2017/3/24,34,80,46,76,54
2017/3/25,31,83,49,79,56
2017/3/26,38,76,41,71,50
2017/3/27,37,78,43,73,51
2017/3/28,33,81,47,77,54
2017/3/29,32,83,48,78,55
2017/3/30,32,83,48,78,56
2017/3/31,36,79,44,74,52
2017/4/1,32,82,47,77,55
2017/4/2,36,78,44,74,52
2017/4/3,37,77,43,73,51
2017/4/4,35,80,45,75,53
2017/4/5,35,80,45,75,53
2017/4/6,33,82,47,77,55
2017/4/7,37,78,43,73,51
2017/4/8,36,79,44,74,53
2017/4/9,39,76,41,71,50
2017/4/10,36,78,43,73,52
2017/4/11,37,78,43,73,52
2017/4/12,37,77,43,73,51
2017/4/13,35,80,45,75,53
2017/4/14,33,81,46,76,55
2017/4/15,33,82,47,77,55
2017/4/16,33,82,47,77,56
2017/4/17,36,79,44,74,53
2017/4/18,32,83,48,78,57
2017/4/19,38,77,42,72,52
2017/4/20,36,79,44,74,53
2017/4/21,31,84,49,79,58
2017/4/22,33,82,47,77,56
2017/4/23,36,79,44,74,53
2017/4/24,37,78,43,73,53
2017/4/25,32,83,48,78,57
2017/4/26,38,77,42,72,51
2017/4/27,38,77,42,72,52
2017/4/28,31,84,49,79,58
2017/4/29,33,82,47,77,56
2017/4/30,34,81,46,76,55
2017/5/1,32,83,48,78,57
2017/5/2,33,82,47,77,56
2017/5/3,40,75,40,70,51
2017/5/4,39,76,41,71,52
2017/5/5,31,84,49,79,58
2017/5/6,33,82,47,77,56
2017/5/7,35,80,45,75,55
2017/5/8,33,82,47,77,57
2017/5/9,34,82,46,76,56
2017/5/10,37,78,43,73,53
2017/5/11,35,80,45,75,55
2017/5/12,37,78,43,73,54
2017/5/13,39,77,42,72,52
2017/5/14,31,84,49,79,59
2017/5/15,39,77,41,71,52
2017/5/16,38,77,42,72,52
2017/5/17,40,76,40,70,51
2017/5/18,38,77,42,72,53
2017/5/19,34,81,46,76,56
2017/5/20,37,79,44,74,54
2017/5/21,35,80,45,75,56
2017/5/22,32,84,49,79,59
2017/5/23,34,81,46,76,57
2017/5/24,39,76,41,71,52
2017/5/25,32,84,49,79,59
2017/5/26,35,80,45,75,56
2017/5/27,39,76,41,71,52
2017/5/28,38,77,42,72,53
2017/5/29,36,79,44,74,55
2017/5/30,31,84,49,79,59
2017/5/31,32,83,48,78,59
2017/6/1,37,78,43,73,54
2017/6/2,38,78,43,73,54
2017/6/3,37,78,43,73,54
2017/6/4,40,76,40,70,52
2017/6/5,34,81,46,76,57
2017/6/6,39,77,42,72,53
2017/6/7,31,84,49,79,60
2017/6/8,31,84,49,79,60
2017/6/9,35,81,46,76,57
2017/6/10,37,79,44,74,55
2017/6/11,33,83,48,78,59
2017/6/12,40,76,40,70,52
2017/6/13,39,77,41,71,53
2017/6/14,40,76,41,71,53
2017/6/15,36,80,45,75,56
2017/6/16,35,81,46,76,57
2017/6/17,36,80,45,75,57
2017/6/18,31,85,49,79,60
2017/6/19,38,78,43,73,55
2017/6/20,37,79,44,74,56
2017/6/21,38,78,43,73,55
2017/6/22,32,84,49,79,60
2017/6/23,35,81,46,76,58
2017/6/24,31,85,49,79,61
2017/6/25,34,82,47,77,58
2017/6/26,35,81,46,76,58
2017/6/27,31,85,50,80,61
2017/6/28,33,83,47,77,59
2017/6/29,39,77,41,71,54
2017/6/30,35,81,46,76,58
